Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","CR2032","BAT-TH_CR2032-BS-6-1",167.000000,-127.500000,0.000000,top
"C1","100nF","C_0603_1608Metric",126.000000,-121.500000,0.000000,top
"C2","10uF","C_0805_2012Metric",126.000000,-133.500000,0.000000,top
"C3","1uF","C_0603_1608Metric",150.000000,-121.500000,0.000000,top
"C4","100nF","C_0603_1608Metric",132.000000,-115.500000,0.000000,top
"C5","10uF","C_0805_2012Metric",150.000000,-133.500000,0.000000,top
"C6","100nF","C_0603_1608Metric",166.000000,-129.500000,0.000000,top
"J1","Speaker 8ohm","PinHeader_1x02_P2.54mm_Vertical",115.000000,-147.000000,0.000000,top
"J2","Pull-Tab","PinHeader_1x02_P2.54mm_Vertical",150.000000,-147.000000,0.000000,top
"R1","GL5528","RES-TH_L5.1-W4.3-P3.40-D0.5",112.000000,-119.500000,0.000000,top
"R2","10k","R_0603_1608Metric",112.000000,-109.500000,0.000000,top
"R3","10k","R_0603_1608Metric",132.000000,-109.500000,0.000000,top
"R4","10k","R_0603_1608Metric",132.000000,-145.500000,0.000000,top
"SW1","Button","SW_SPST_TL3342",166.000000,-145.500000,0.000000,top
"U1","ISD3900FYI","LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL",138.000000,-127.500000,0.000000,top
"U2","W25Q16JVSSIQ","SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL",166.000000,-119.500000,0.000000,top
