Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","CR2032","BAT-TH_CR2032-BS-6-1",6.574803,-5.019685,0.000000,top
"C1","100nF","C_0603_1608Metric",4.960630,-4.783465,0.000000,top
"C2","10uF","C_0805_2012Metric",4.960630,-5.255906,0.000000,top
"C3","1uF","C_0603_1608Metric",5.905512,-4.783465,0.000000,top
"C4","100nF","C_0603_1608Metric",5.196850,-4.547244,0.000000,top
"C5","10uF","C_0805_2012Metric",5.905512,-5.255906,0.000000,top
"C6","100nF","C_0603_1608Metric",6.299213,-4.625984,0.000000,top
"J2","Pull-Tab","PinHeader_1x02_P2.54mm_Vertical",5.905512,-5.787402,0.000000,top
"LS1","KLJ-01304T-08R07W","BUZ-SMD_4P-L13.0-W13.0-P11.4-BL",4.527559,-5.413386,0.000000,top
"R1","GL5528","RES-TH_L5.1-W4.3-P3.40-D0.5",4.409449,-4.704724,0.000000,top
"R2","10k","R_0603_1608Metric",4.409449,-4.311024,0.000000,top
"R3","10k","R_0603_1608Metric",5.196850,-4.311024,0.000000,top
"R4","10k","R_0603_1608Metric",5.196850,-5.728346,0.000000,top
"SW1","Button","SW_SPST_TL3342",6.535433,-5.728346,0.000000,top
"U1","ISD3900FYI","LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL",5.433071,-5.019685,0.000000,top
"U2","W25Q16JVSSIQ","SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL",6.299213,-4.311024,0.000000,top
